moderate,immoderate
insurmountable,surmountable
surprised,unsurprised
unsurprised,surprised
surprising,unsurprising
unsurprising,surprising
susceptible,unsusceptible
unsusceptible,susceptible
impressionable,unimpressionable
unimpressionable,impressionable
exempt,nonexempt
nonexempt,exempt
scheduled,unscheduled
unscheduled,scheduled
sweet,dry
dry,sweet
sweet,sour
sour,sweet
soured,unsoured
unsoured,soured
suspected,unsuspected
unsuspected,suspected
swept,unswept
unswept,swept
sworn,unsworn
unsworn,sworn
symmetrical,asymmetrical
asymmetrical,symmetrical
actinomorphic,zygomorphic
zygomorphic,actinomorphic
sympathetic,unsympathetic
unsympathetic,sympathetic
sympathetic,unsympathetic
unsympathetic,sympathetic
sympatric,allopatric
allopatric,sympatric
synchronic,diachronic
diachronic,synchronic
synchronous,asynchronous
asynchronous,synchronous
synchronous,asynchronous
asynchronous,synchronous
syndetic,asyndetic
asyndetic,syndetic
synonymous,antonymous
antonymous,synonymous
systematic,unsystematic
unsystematic,systematic
taciturn,voluble
voluble,taciturn
tactful,tactless
tactless,tactful
tall,short
short,tall
tame,wild
wild,tame
tame,wild
wild,tame
tangible,intangible
intangible,tangible
tangible,intangible
intangible,tangible
tasteful,tasteless
tasteless,tasteful
tasty,tasteless
tasteless,tasty
taxable,nontaxable
nontaxable,taxable
temperate,intemperate
intemperate,temperate
temperate,intemperate
intemperate,temperate
tense,lax
lax,tense
tense,lax
lax,tense
tense,relaxed
relaxed,tense
hypertonic,hypotonic
hypotonic,hypertonic
territorial,extraterritorial
extraterritorial,territorial
territorial,nonterritorial
nonterritorial,territorial
thermoplastic,thermosetting
thermosetting,thermoplastic
thick,thin
thin,thick
thick,thin
thin,thick
thinkable,unthinkable
unthinkable,thinkable
thoughtful,thoughtless
thoughtless,thoughtful
thrifty,wasteful
wasteful,thrifty
tidy,untidy
untidy,tidy
groomed,ungroomed
ungroomed,groomed
combed,uncombed
uncombed,combed
timbered,untimbered
untimbered,timbered
toned,toneless
toneless,toned
tongued,tongueless
tongueless,tongued
tipped,untipped
untipped,tipped
tired,rested
rested,tired
tolerable,intolerable
intolerable,tolerable
tolerant,intolerant
intolerant,tolerant
tonal,atonal
atonal,tonal
toothed,toothless
toothless,toothed
top,bottom
bottom,side
side,top
topped,topless
topless,topped
bottomed,bottomless
bottomless,bottomed
top-down,bottom-up
bottom-up,top-down
equatorial,polar
polar,equatorial
testate,intestate
intestate,testate
touched,untouched
untouched,touched
tough,tender
tender,tough
tough,tender
tender,tough
tough,tender
tender,tough
toxic,nontoxic
nontoxic,toxic
tractable,intractable
intractable,tractable
table_d'hote,a_la_carte
a_la_carte,table_d'hote
traceable,untraceable
untraceable,traceable
tracked,trackless
trackless,tracked
traveled,untraveled
untraveled,traveled
trimmed,untrimmed
untrimmed,trimmed
troubled,untroubled
untroubled,troubled
true,false
false,true
trustful,distrustful
distrustful,trustful
trustworthy,untrustworthy
untrustworthy,trustworthy
tubed,tubeless
tubeless,tubed
tucked,untucked
untucked,tucked
turned,unturned
unturned,turned
typical,atypical
atypical,typical
underhand,overhand
overhand,underhand
surface,subsurface
subsurface,overhead
overhead,surface
submersible,nonsubmersible
nonsubmersible,submersible
tearful,tearless
tearless,tearful
union,nonunion
nonunion,union
uniparous,multiparous
multiparous,uniparous
unipolar,bipolar
bipolar,unipolar
united,divided
divided,united
adnate,connate
connate,adnate
univalve,bivalve
bivalve,univalve
ascending,descending
descending,ascending
rising,falling
falling,rising
climactic,anticlimactic
anticlimactic,climactic
upmarket,downmarket
downmarket,upmarket
transitive,intransitive
intransitive,transitive
translatable,untranslatable
untranslatable,translatable
ungulate,unguiculate
unguiculate,ungulate
up,down
down,up
upstage,downstage
downstage,upstage
upstairs,downstairs
downstairs,upstairs
upstream,downstream
downstream,upstream
uptown,downtown
downtown,uptown
used,misused
misused,used
useful,useless
useless,useful
utopian,dystopian
dystopian,utopian
valid,invalid
invalid,valid
valuable,worthless
worthless,valuable
variable,invariable
invariable,variable
varied,unvaried
unvaried,varied
veiled,unveiled
unveiled,veiled
ventilated,unventilated
unventilated,ventilated
vertebrate,invertebrate
invertebrate,vertebrate
violable,inviolable
inviolable,violable
violent,nonviolent
nonviolent,violent
virtuous,wicked
wicked,virtuous
visible,invisible
invisible,visible
viviparous,oviparous
oviparous,ovoviviparous
ovoviviparous,viviparous
volatile,nonvolatile
nonvolatile,volatile
voluntary,involuntary
involuntary,voluntary
voluntary,involuntary
involuntary,voluntary
vulnerable,invulnerable
invulnerable,vulnerable
wanted,unwanted
unwanted,wanted
warm,cool
cool,warm
warm,cool
cool,warm
warm,cool
cool,warm
warm-blooded,cold-blooded
cold-blooded,warm-blooded
warmhearted,coldhearted
coldhearted,warmhearted
washable,nonwashable
nonwashable,washable
waxed,unwaxed
unwaxed,waxed
waxing,waning
waning,waxing
increasing,decreasing
decreasing,increasing
increasing,decreasing
decreasing,increasing
inflationary,deflationary
deflationary,inflationary
weaned,unweaned
unweaned,weaned
wearable,unwearable
unwearable,wearable
weedy,weedless
weedless,weedy
welcome,unwelcome
unwelcome,welcome
well,ill
ill,well
wet,dry
dry,wet
wet,dry
dry,wet
wet,dry
dry,wet
wet,dry
dry,wet
hydrous,anhydrous
anhydrous,hydrous
wheeled,wheelless
wheelless,wheeled
white-collar,blue-collar
blue-collar,white-collar
wholesome,unwholesome
unwholesome,wholesome
wide,narrow
narrow,wide
wide,narrow
narrow,wide
wieldy,unwieldy
unwieldy,wieldy
wigged,wigless
wigless,wigged
willing,unwilling
unwilling,willing
winged,wingless
wingless,winged
wired,wireless
wireless,wired
wise,foolish
foolish,wise
wooded,unwooded
unwooded,wooded
woody,nonwoody
nonwoody,woody
worldly,unworldly
unworldly,worldly
woven,unwoven
unwoven,woven
worn,new
new,worn
worthy,unworthy
unworthy,worthy
xeric,hydric
hydric,mesic
mesic,xeric
zonal,azonal
azonal,zonal
acrocarpous,pleurocarpous
pleurocarpous,acrocarpous
cursorial,fossorial
fossorial,cursorial
homocercal,heterocercal
heterocercal,homocercal
webbed,unwebbed
unwebbed,webbed
faceted,unfaceted
unfaceted,faceted
ipsilateral,contralateral
contralateral,ipsilateral
salient,re-entrant
re-entrant,salient
proactive,retroactive
retroactive,proactive
rh-positive,rh-negative
rh-negative,rh-positive
categorematic,syncategorematic
syncategorematic,categorematic
idiographic,nomothetic
nomothetic,idiographic
pro-choice,pro-life
pro-life,pro-choice
baptized,unbaptized
unbaptized,baptized
benign,malignant
malignant,benign
calcicolous,calcifugous
calcifugous,calcicolous
invertible,non-invertible
non-invertible,invertible
immunocompetent,immunodeficient
immunodeficient,immunocompetent
allogeneic,xenogeneic
xenogeneic,allogeneic
long-spurred,short-spurred
short-spurred,long-spurred
shelled,unshelled
unshelled,shelled
jawed,jawless
jawless,jawed
skinned,skinless
skinless,skinned
flowering,flowerless
flowerless,flowering
abient,adient
adient,abient
alphabetic,analphabetic
analphabetic,alphabetic
anodic,cathodic
cathodic,anodic
autotrophic,heterotrophic
heterotrophic,autotrophic
bracteate,ebracteate
extracellular,intracellular
intracellular,extracellular
cenobitic,eremitic
eremitic,cenobitic
cenogenetic,palingenetic
palingenetic,cenogenetic
chromatinic,achromatinic
achromatinic,chromatinic
directional,omnidirectional
omnidirectional,directional
dysgenic,eugenic
eugenic,dysgenic
ebracteate,bracteate
febrile,afebrile
afebrile,febrile
fictional,nonfictional
nonfictional,fictional
fretted,unfretted
unfretted,fretted
harmonic,nonharmonic
nonharmonic,harmonic
ionic,nonionic
nonionic,ionic
myelinated,unmyelinated
unmyelinated,myelinated
paradigmatic,syntagmatic
passerine,nonpasserine
nonpasserine,passerine
photosynthetic,nonphotosynthetic
nonphotosynthetic,photosynthetic
ruminant,nonruminant
nonruminant,ruminant
spherical,nonspherical
nonspherical,spherical
steroidal,nonsteroidal
nonsteroidal,steroidal
suppurative,nonsuppurative
nonsuppurative,suppurative
syntagmatic,paradigmatic
unthematic,thematic
thematic,unthematic
thermal,nonthermal
nonthermal,thermal
vocal,instrumental
instrumental,vocal
hydrostatic,hydrokinetic
hydrokinetic,hydrostatic
spatial,nonspatial
nonspatial,spatial
linguistic,nonlinguistic
nonlinguistic,linguistic
caudal,cephalic
cephalic,caudal
financial,nonfinancial
nonfinancial,financial
eukaryotic,prokaryotic
eucaryotic,procaryotic
prokaryotic,eukaryotic
procaryotic,eucaryotic
vascular,avascular
avascular,vascular
uninucleate,multinucleate
multinucleate,uninucleate
parental,filial
filial,parental
surgical,nonsurgical
nonsurgical,surgical
endocrine,exocrine
exocrine,endocrine
historical,ahistorical
ahistorical,historical
anti-American,pro-American
pro-American,anti-American
rational,irrational
irrational,rational
anionic,cationic
cationic,anionic
accusatorial,inquisitorial
inquisitorial,accusatorial
prenuptial,postnuptial
postnuptial,prenuptial
interdepartmental,intradepartmental
intradepartmental,interdepartmental
homeopathic,allopathic
allopathic,homeopathic
nontranslational,translational
translational,nontranslational
avenged,unavenged
unavenged,avenged
collected,uncollected
gathered,ungathered
uncollected,collected
ungathered,gathered
contested,uncontested
uncontested,contested
filled,unfilled
unfilled,filled
malted,unmalted
unmalted,malted
posed,unposed
unposed,posed
saponified,unsaponified
unsaponified,saponified
